Season,Player,Age,Pos,Tm,GP,G,A,PTS,PlusMinus,PIM,EV,PP,SH,GW,EV,PP,SH,S,SP,TOI
2015,Marc Methot,30,D,OTT,69,5,7,12,12,34,5,0,0,0,7,0,0,74,6.8,1425
2015,Kyle Chipchura,29,C,ARI,70,4,8,12,-10,38,4,0,0,1,7,1,0,47,8.5,716
2015,Oscar Klefbom,22,D,EDM,30,4,8,12,-4,6,4,0,0,1,5,3,0,48,8.3,657
2015,Evgeny Medvedev,33,D,PHI,45,4,8,12,5,34,3,1,0,1,6,2,0,71,5.6,847
2015,Jordie Benn,28,D,DAL,64,3,9,12,2,21,2,1,0,2,8,0,1,58,5.2,1001
2015,Deryk Engelland,33,D,CGY,69,3,9,12,7,54,3,0,0,0,8,0,1,71,4.2,1051
2015,Christian Ehrhoff,33,D,TOT,48,2,10,12,-11,34,2,0,0,0,2,8,0,80,2.5,743
2015,Josh Gorges,31,D,BUF,77,2,10,12,-7,72,2,0,0,0,10,0,0,57,3.5,1576
2015,Jyrki Jokipakka,24,D,TOT,58,2,10,12,4,14,2,0,0,1,10,0,0,45,4.4,902
2015,Dennis Seidenberg,34,D,BOS,61,1,11,12,-1,24,1,0,0,0,10,1,0,66,1.5,1183
2015,Ian Cole,26,D,PIT,70,0,12,12,-3,59,0,0,0,0,11,1,0,72,0,1207
2015,Alexei Emelin,29,D,MTL,72,0,12,12,-7,71,0,0,0,0,12,0,0,71,0,1476
2015,Chris Terry,26,LW,CAR,68,8,3,11,-12,16,8,0,0,0,3,0,0,78,10.3,767
2015,Frank Vatrano,21,C,BOS,39,8,3,11,-3,14,8,0,0,1,3,0,0,99,8.1,463
2015,Kyle Brodziak,31,C,STL,76,7,4,11,-1,37,4,0,3,4,4,0,0,49,14.3,821
2015,Erik Condra,29,RW,TBL,54,6,5,11,-4,34,6,0,0,0,5,0,0,58,10.3,578
2015,Nick Cousins,22,C,PHI,36,6,5,11,5,4,6,0,0,1,3,2,0,41,14.6,386
2015,Quinton Howden,24,C,FLA,58,6,5,11,-1,18,6,0,0,0,5,0,0,54,11.1,602
2015,Cedric Paquette,22,C,TBL,56,6,5,11,-2,51,5,0,1,1,5,0,0,50,12,713
2015,Jason Garrison,31,D,TBL,72,5,6,11,-4,18,5,0,0,1,6,0,0,99,5.1,1329
2015,Brandon Davidson,24,D,EDM,51,4,7,11,7,20,2,2,0,0,6,0,1,63,6.3,979
2015,Andreas Martinsen,25,LW,COL,55,4,7,11,-4,47,4,0,0,1,7,0,0,52,7.7,610
2015,Kyle Quincey,30,D,DET,47,4,7,11,1,36,4,0,0,2,7,0,0,62,6.5,929
2015,Bryan Rust,23,RW,PIT,41,4,7,11,1,12,4,0,0,1,6,1,0,68,5.9,512
2015,Gregory Campbell,32,C,CBJ,82,3,8,11,-6,78,3,0,0,2,8,0,0,58,5.2,866
2015,Tyler Ennis,26,C,BUF,23,3,8,11,-9,11,1,2,0,0,6,2,0,57,5.3,416
2015,Jay McClement,32,C,CAR,77,3,8,11,-17,24,2,0,1,0,8,0,0,64,4.7,893
2015,Brenden Dillon,25,D,SJS,76,2,9,11,8,61,2,0,0,1,9,0,0,93,2.2,1268
2015,Alexey Marchenko,24,D,DET,66,2,9,11,-5,10,2,0,0,0,8,0,1,40,5,1111
2015,R.J. Umberger,33,C,PHI,39,2,9,11,1,15,1,1,0,0,8,1,0,48,4.2,396
2015,Stephen Gionta,32,C,NJD,82,1,10,11,-13,43,1,0,0,0,10,0,0,62,1.6,1001
2015,Mark Pysyk,24,D,BUF,55,1,10,11,-1,32,1,0,0,0,8,1,1,44,2.3,875
2015,Andy Andreoff,24,LW,LAK,60,8,2,10,1,76,8,0,0,1,2,0,0,46,17.4,528
2015,Bobby Farnham,27,RW,TOT,53,8,2,10,-2,97,8,0,0,0,2,0,0,50,16,494
2015,Conor Sheary,23,LW,PIT,44,7,3,10,-1,8,7,0,0,0,3,0,0,51,13.7,429
2015,Markus Granlund,22,C,TOT,47,6,4,10,-4,14,5,0,1,1,3,0,1,56,10.7,648
2015,Adam Cracknell,30,RW,TOT,52,5,5,10,-1,20,5,0,0,1,5,0,0,68,7.4,636
2015,Marko Da_o,21,C,TOT,34,5,5,10,-7,10,5,0,0,0,4,1,0,54,9.3,417
2015,Landon Ferraro,24,C,TOT,68,5,5,10,-11,27,5,0,0,1,5,0,0,77,6.5,722
2015,Miikka Salomaki,22,RW,NSH,61,5,5,10,-1,28,5,0,0,1,4,0,1,61,8.2,732
